id,product_name,ingredient_name,min_intake_value,max_intake_value,display_unit,created_at,updated_at
96,지아잔틴 추출물,지아잔틴,10,20,mg,2026-01-15 17:00,2026-01-15 17:00
97,루테인 복합추출물,"루테인, 지아잔틴",10,20,mg,2026-01-15 17:00,2026-01-15 17:00
98,표고버섯균사체 AHCC,알파-글루칸,1800,3600,g,2026-01-15 17:00,2026-01-15 17:00
99,이소말토올리고당,이소말토올리고당,8,12,g,2026-01-15 17:00,2026-01-15 17:00
100,대두올리고당,대두올리고당,2,3,g,2026-01-15 17:00,2026-01-15 17:00
101,타가토스,D-타가토스,5,8,g,2026-01-15 17:00,2026-01-15 17:00
102,당귀등추출복합물,"데쿠르신, 사우치논, 쉬잔드린",800,800,mg,2026-01-15 17:00,2026-01-15 17:00
103,발효생성아미노산 복합물,"L-이소로이신, L-로이신, L-발린",5,5,g,2026-01-15 17:00,2026-01-15 17:00
104,밀전분유래 난소화성말토덱스트린,식이섬유,8,20,g,2026-01-15 17:00,2026-01-15 17:00
105,마카 젤라틴화 분말,벤질헥사데칸아미드,5,5,g,2026-01-15 17:00,2026-01-15 17:00
106,스페인감초추출물,글라브리딘,150,150,mg,2026-01-15 17:00,2026-01-15 17:00
107,가시오갈피 등 복합추출물,"엘레우테로사이드 E, 리구스틸라이드, 바이칼린",1.5,1.5,g,2026-01-15 17:00,2026-01-15 17:00
108,호박씨추출물 등 복합물,"폴리페놀 유도체, 대두이소플라본 배당체의 합",600,1000,mg,2026-01-15 17:00,2026-01-15 17:00
109,동충하초 발효 추출물,아데노신,3,3,g,2026-01-15 17:00,2026-01-15 17:00
110,유산균발효다시마추출물,감마아미노부티르산,1.5,1.5,g,2026-01-15 17:00,2026-01-15 17:00
111,석류농축액,엘라그산,13,13,g,2026-01-15 17:00,2026-01-15 17:00
112,보스웰리아 추출물,3-아세틸-11-케토-β-보스웰릭 산와 11-케토-β-보스웰릭 산의 합,1000,1000,mg,2026-01-15 17:00,2026-01-15 17:00
113,카카오분말,총 플라바놀,3,3,g,2026-01-15 17:00,2026-01-15 17:00
114,글로빈 가수분해물,VVYP(발린-발린-티로신-프롤린),1,1,g,2026-01-15 17:00,2026-01-15 17:00
115,HK표고버섯균사체,베타글루칸,350,350,mg,2026-01-15 17:00,2026-01-15 17:00
116,쌀겨추출물,글루코실 세라마이드,10,34,mg,2026-01-15 17:00,2026-01-15 17:00
117,동결건조누에분말,1-데옥시노지리마이신,3,3,g,2026-01-15 17:00,2026-01-15 17:00
118,복분자추출분말,엘라그산,3150,3150,mg,2026-01-15 17:00,2026-01-15 17:00
119,저분자콜라겐펩타이드,글리신-프롤린-히드록시프롤린,1000,3000,mg,2026-01-15 17:00,2026-01-15 17:00
120,MR-10 민들레등복합추출물,"민들레,루이보스",400,400,mg,2026-01-15 17:00,2026-01-15 17:00
121,전칠삼추출물 등 복합물,"진세노사이드 Rb1, 스타키오스, 엘레우테로사이드 E",800,800,mg,2026-01-15 17:00,2026-01-15 17:00
122,효모베타글루칸,베타글루칸,250,250,mg,2026-01-15 17:00,2026-01-15 17:00
123,피엘에이지,1-팔미토일-2-리놀레오일-3-아세틸-라세미-글리세롤,1,1,g,2026-01-15 17:00,2026-01-15 17:00
