epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,301.666,0.32369,0.35422,0.95286,0.66593,0.74877,0.71823,0.63107,0.86151,1.27315,1.91186,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,307.405,0.30649,0.31144,0.92915,0.70114,0.76105,0.73926,0.63303,0.8452,1.32651,1.72309,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,313.306,0.28937,0.31056,0.93155,0.69019,0.78312,0.71058,0.63102,0.77476,1.27421,1.57834,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,319.011,0.32163,0.33066,0.94759,0.7343,0.71703,0.71776,0.63897,0.84014,1.33784,1.70264,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,324.906,0.33241,0.3399,0.96727,0.66189,0.72174,0.68885,0.61677,0.90814,1.3399,1.89778,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,330.651,0.32322,0.35451,0.94579,0.68985,0.74232,0.69393,0.59473,0.85751,1.34671,1.66904,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
54,336.57,0.30087,0.30992,0.93289,0.73936,0.76505,0.7206,0.62696,0.82863,1.13907,1.68208,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
55,342.407,0.33074,0.32332,0.94213,0.69667,0.77749,0.72134,0.62908,0.80921,1.14642,1.6618,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
56,348.345,0.28888,0.31581,0.92208,0.71912,0.72635,0.67349,0.59161,0.82376,1.16562,1.75094,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
57,354.193,0.31001,0.31374,0.94756,0.71789,0.69847,0.69486,0.60586,0.89066,1.28599,1.84028,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
58,360.168,0.31834,0.32953,0.95692,0.71979,0.67188,0.68083,0.60744,0.88488,1.24684,1.81778,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312
59,366.01,0.29772,0.29263,0.93809,0.67215,0.78071,0.70375,0.6123,0.79985,1.1476,1.65871,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
60,371.969,0.31452,0.30919,0.95032,0.69768,0.81114,0.70939,0.61198,0.7469,1.33381,1.66259,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305
61,377.691,0.29765,0.30299,0.92891,0.71466,0.77338,0.72938,0.62371,0.80106,1.27878,1.7849,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
62,383.788,0.31371,0.31755,0.94728,0.68217,0.80098,0.72913,0.6282,0.8281,1.2069,1.81525,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299
63,389.57,0.30967,0.31678,0.97108,0.72681,0.76404,0.73058,0.63898,0.82453,1.11032,1.84752,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
64,395.556,0.31304,0.27585,0.95764,0.72434,0.73171,0.71859,0.63472,0.82282,1.15677,1.81997,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292
