epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,1055.21,1.13714,0.92044,1.42272,0.81285,0.60836,0.70353,0.47166,1.272,1.19864,1.54348,0.001156,0.001156,0.001156
136,1062.76,1.0703,0.91144,1.37498,0.81971,0.72566,0.81235,0.57758,1.07248,0.92505,1.38488,0.00109,0.00109,0.00109
137,1070.31,1.11598,0.90874,1.40056,0.82038,0.69707,0.80336,0.57632,1.06682,0.93839,1.38073,0.001024,0.001024,0.001024
138,1078,1.09395,0.90971,1.40482,0.82329,0.68404,0.81018,0.57452,1.08735,0.91517,1.3851,0.000958,0.000958,0.000958
139,1085.55,1.11268,0.92241,1.41911,0.82801,0.67752,0.80529,0.58556,1.0663,0.92942,1.37741,0.000892,0.000892,0.000892
140,1093.27,1.10743,0.91374,1.39661,0.83844,0.68078,0.79026,0.58432,1.05595,0.95886,1.37261,0.000826,0.000826,0.000826
141,1103.3,1.13579,1.05262,1.46699,0.8561,0.67825,0.79891,0.58374,1.05495,0.92416,1.35772,0.00076,0.00076,0.00076
142,1110.89,1.09281,0.9091,1.44086,0.87483,0.65798,0.79775,0.5723,1.08271,0.97598,1.39118,0.000694,0.000694,0.000694
143,1118.46,1.07245,0.89072,1.43988,0.80221,0.69707,0.81059,0.59645,1.02506,0.90585,1.3588,0.000628,0.000628,0.000628
144,1126.22,1.06722,0.86062,1.42047,0.84676,0.68078,0.81376,0.57705,1.0714,0.91461,1.37856,0.000562,0.000562,0.000562
145,1133.82,1.05817,0.8414,1.3887,0.82297,0.69055,0.82347,0.5787,1.07705,0.92347,1.39089,0.000496,0.000496,0.000496
146,1141.4,1.06292,0.86158,1.41914,0.81551,0.69707,0.80309,0.58852,1.03987,0.9444,1.3639,0.00043,0.00043,0.00043
147,1149.01,1.07163,0.87017,1.4284,0.83463,0.67405,0.80335,0.58675,1.04404,0.92697,1.36865,0.000364,0.000364,0.000364
148,1156.61,1.03713,0.82725,1.40949,0.77778,0.70684,0.80402,0.58268,1.04874,0.9159,1.37321,0.000298,0.000298,0.000298
149,1164.23,1.03948,0.81773,1.41892,0.84268,0.66775,0.80816,0.59112,1.03426,0.90789,1.36331,0.000232,0.000232,0.000232
150,1171.84,1.0117,0.81111,1.38176,0.79016,0.72367,0.81229,0.5973,1.0353,0.90695,1.36248,0.000166,0.000166,0.000166
